"","sample_name","new_phenotype"
"235","AZ_ARHI_Plaat_1_AZ_0061",0
"236","AZ_ARHI_Plaat_1_AZ_0062",0
"237","AZ_ARHI_Plaat_1_AZ_0063",0
"238","AZ_ARHI_Plaat_1_AZ_0064",0
"239","AZ_ARHI_Plaat_1_AZ_0065",0
"240","AZ_ARHI_Plaat_1_AZ_0066",0
"241","AZ_ARHI_Plaat_1_AZ_0067",0
"242","AZ_ARHI_Plaat_1_AZ_0068",0
"243","AZ_ARHI_Plaat_1_AZ_0069",0
"244","AZ_ARHI_Plaat_1_AZ_0070",0
"245","AZ_ARHI_Plaat_1_AZ_0071",0
"246","AZ_ARHI_Plaat_1_AZ_0072",0
"247","AZ_ARHI_Plaat_1_AZ_0073",0
"248","AZ_ARHI_Plaat_1_AZ_0075",0
"249","AZ_ARHI_Plaat_1_AZ_0076",0
"250","AZ_ARHI_Plaat_1_AZ_0077",0
"251","AZ_ARHI_Plaat_1_AZ_0078",0
"252","AZ_ARHI_Plaat_1_AZ_0079",0
"253","AZ_ARHI_Plaat_1_AZ_0080",0
"254","AZ_ARHI_Plaat_1_AZ_0081",0
"255","AZ_ARHI_Plaat_1_AZ_0082",0
"256","AZ_ARHI_Plaat_1_AZ_0083",0
"257","AZ_ARHI_Plaat_1_AZ_0084",0
"258","AZ_ARHI_Plaat_1_AZ_0085",0
"259","AZ_ARHI_Plaat_1_AZ_0086",0
"260","AZ_ARHI_Plaat_1_AZ_0088",0
"261","AZ_ARHI_Plaat_1_AZ_0089",0
"262","AZ_ARHI_Plaat_1_AZ_0090",0
"263","AZ_ARHI_Plaat_1_AZ_0091",0
"264","AZ_ARHI_Plaat_1_AZ_0092",0
"265","AZ_ARHI_Plaat_1_AZ_0093",0
"266","AZ_ARHI_Plaat_1_AZ_0094",0
"267","AZ_ARHI_Plaat_1_AZ_0095",0
"268","AZ_ARHI_Plaat_1_AZ_0096",0
"269","BAN-C1-10350",0
"270","BAN-C1-19023",0
"271","BAN-C1-19153",0
"272","BAN-C1-19211",0
"273","BAN-C1-20632",0
"274","BAN-C1-21679",0
"275","BAN-C1-22440",0
"276","BAN-C1-28554",0
"277","BAN-C1-29090",0
"278","BAN-C1-29733",0
"279","BAN-C1-29843",0
"280","BAN-C1-29895",0
"281","BAN-C1-30495",0
"282","BAN-C1-31028",0
"283","BAN-C1-33217",0
"284","BAN-C1-40021",0
"285","BAN-C1-40078",0
"286","BAN-C1-40204",0
"287","BAN-C1-40313",0
"288","BAN-C1-40321",0
"289","BAN-C1-40339",0
"290","BAN-C1-40368",0
"291","BAN-C1-40390",0
"292","BAN-C1-40470",0
"293","BAN-C1-40489",0
"294","BAN-C1-40528",0
"295","BAN-C1-40555",0
"296","BAN-C1-40623",0
"297","BAN-C1-40626",0
"298","BAN-C1-40641",0
"299","BAN-C1-40769",0
"300","BAN-C1-40785",0
"301","BAN-C1-40824",0
"302","BAN-C1-40877",0
"303","BAN-C1-40884",0
"304","BAN-C1-40907",0
"305","BAN-C1-41146",0
"306","BAN-C1-42039",0
"307","BAN-C1-42054",0
"308","BAN-C1-43025",0
"309","BAN-C1-43091",0
"310","BAN-C1-43231",0
"311","BAN-C1-43473",0
"312","BAN-C1-43686",0
"313","BAN-C1-43915",0
"314","BAN-C1-44029",0
"315","BAN-C1-44090",0
"316","BAN-C1-44164",0
"317","BAN-C1-44177",0
"318","BAN-C1-44500",0
"319","BAN-C1-45535",0
"320","BAN-C1-46234",0
"321","BAN-C1-46236",0
"322","BAN-C1-46857",0
"323","BAN-C1-46905",0
"324","BAN-C1-47257",0
"325","BAN-C1-47435",0
"326","BAN-C1-47816",0
"327","BAN-C1-50319",0
"328","BAN-C1-50607",0
"329","BAN-C1-51492",0
"330","BAN-C1-54218",0
"331","BAN-C1-54221",0
"332","BAN-C1-54308",0
"333","BAN-C1-55173",0
"334","BAN-C1-57687",0
"335","BAN-C1-57877",0
"336","BAN-C1-58236",0
"337","BAN-C1-58652",0
"338","BAN-C1-58801",0
"339","BAN-C1-61470",0
"340","BAN-C1-61547",0
"341","BAN-C1-62656",0
"342","BAN-C1-63602",0
"343","BAN-C1-64306",0
"344","BAN-C1-65272",0
"345","BAN-C1-66810",0
"346","BAN-C1-66868",0
"347","BAN-C1-67064",0
"348","BAN-C1-67276",0
"349","BAN-C1-67887",0
"350","BAN-C1-68410",0
"351","BAN-C2-10451",0
"352","BAN-C2-11337",0
"353","BAN-C2-11437",0
"354","BAN-C2-11577",0
"355","BAN-C2-12526",0
"356","BAN-C2-18466",0
"357","BAN-C2-22233",0
"358","BAN-C2-25197",0
"359","BAN-C2-31857",0
"360","BAN-C2-32925",0
"361","BAN-C2-40025",0
"362","BAN-C2-40337",0
"363","BAN-C2-40385",0
"364","BAN-C2-40386",0
"365","BAN-C2-40388",0
"366","BAN-C2-40481",0
"367","BAN-C2-40490",0
"368","BAN-C2-40524",0
"369","BAN-C2-40553",0
"370","BAN-C2-40558",0
"371","BAN-C2-40607",0
"372","BAN-C2-40631",0
"373","BAN-C2-40647",0
"374","BAN-C2-40654",0
"375","BAN-C2-40656",0
"376","BAN-C2-40670",0
"377","BAN-C2-40732",0
"378","BAN-C2-40848",0
"379","BAN-C2-40850",0
"380","BAN-C2-40880",0
"381","BAN-C2-40906",0
"382","BAN-C2-40930",0
"383","BAN-C2-4094",0
"384","BAN-C2-40949",0
"385","BAN-C2-41370",0
"386","BAN-C2-41837",0
"387","BAN-C2-41941",0
"388","BAN-C2-42194",0
"389","BAN-C2-42247",0
"390","BAN-C2-43057",0
"391","BAN-C2-4331",0
"392","BAN-C2-43829",0
"393","BAN-C2-44107",0
"394","BAN-C2-44261",0
"395","BAN-C2-44274",0
"396","BAN-C2-44624",0
"397","BAN-C2-44693",0
"398","BAN-C2-45112",0
"399","BAN-C2-45593",0
"400","BAN-C2-45795",0
"401","BAN-C2-45925",0
"402","BAN-C2-46012",0
"403","BAN-C2-46230",0
"404","BAN-C2-46379",0
"405","BAN-C2-46779",0
"406","BAN-C2-47156",0
"407","BAN-C2-47325",0
"408","BAN-C2-48512",0
"409","BAN-C2-48909",0
"410","BAN-C2-50827",0
"411","BAN-C2-51311",0
"412","BAN-C2-52365",0
"413","BAN-C2-52426",0
"414","BAN-C2-52802",0
"415","BAN-C2-57023",0
"416","BAN-C2-59858",0
"417","BAN-C2-62618",0
"418","BAN-C2-63482",0
"419","BAN-C2-63807",0
"420","BAN-C2-64664",0
